DR,Offense,Date_Rept,Monthstamp,Yearstamp,Block
1103805,BURGLARY - RESIDENTIAL - GARAGE                    ,3/18/2011,3,2011,0 Blk RHODE ISLAND                                                                    
1103873,BURGLARY - RESIDENTIAL - GARAGE                    ,3/19/2011,3,2011,100 Blk W YALE LOOP                                                                     
1103880,BURGLARY - RESIDENTIAL - GARAGE                    ,3/19/2011,3,2011,0 Blk NEW DAWN                                                                        
1104006,BURGLARY - RESIDENTIAL - GARAGE                    ,3/22/2011,3,2011,1200 Blk WYCLIFFE                                                                        
1104133,BURGLARY - RESIDENTIAL - GARAGE                    ,3/25/2011,3,2011,200 Blk STONECLIFFE AISLE                                                               
1104186,BURGLARY - RESIDENTIAL - GARAGE                    ,3/26/2011,3,2011,4100 Blk SALACIA DR                                                                      
1104224,BURGLARY - RESIDENTIAL - GARAGE                    ,3/27/2011,3,2011,0 Blk HAWKRIDGE                                                                       
1104227,BURGLARY - RESIDENTIAL - GARAGE                    ,3/27/2011,3,2011,0 Blk GREENMOOR                                                                       
1104278,BURGLARY - RESIDENTIAL - GARAGE                    ,3/28/2011,3,2011,7100 Blk ESPERANZA                                                                       
1104347,BURGLARY - RESIDENTIAL - GARAGE                    ,3/30/2011,3,2011,1200 Blk QUAIL RDG                                                                       
1104413,BURGLARY - RESIDENTIAL - GARAGE                    ,3/31/2011,3,2011,0 Blk BAYVIEW                                                                         
1104506,BURGLARY - RESIDENTIAL - GARAGE                    ,4/1/2011,4,2011,800 Blk WYCLIFFE                                                                        
1104716,BURGLARY - RESIDENTIAL - GARAGE                    ,4/6/2011,4,2011,800 Blk MONTE VISTA                                                                     
1104812,BURGLARY - RESIDENTIAL - GARAGE                    ,4/7/2011,4,2011,0 Blk HOPKINS ST                                                                      
1104941,BURGLARY - RESIDENTIAL - GARAGE                    ,4/10/2011,4,2011,100 Blk DURANZO AISLE                                                                   
1105206,BURGLARY - RESIDENTIAL - GARAGE                    ,4/15/2011,4,2011,300 Blk WYCLIFFE                                                                        
1105274,BURGLARY - RESIDENTIAL - GARAGE                    ,4/16/2011,4,2011,3500 Blk SEGO ST                                                                         
1105321,BURGLARY - RESIDENTIAL - GARAGE                    ,4/17/2011,4,2011,0 Blk BLAZING STAR W                                                                  
1105370,BURGLARY - RESIDENTIAL - GARAGE                    ,4/18/2011,4,2011,0 Blk NEW HAMPSHIRE                                                                   
1105408,BURGLARY - RESIDENTIAL - GARAGE                    ,4/19/2011,4,2011,0 Blk HILLSIDE LN                                                                     
1105587,BURGLARY - RESIDENTIAL - GARAGE                    ,4/22/2011,4,2011,0 Blk ANTIETAM                                                                        
1105669,BURGLARY - RESIDENTIAL - GARAGE                    ,4/24/2011,4,2011,1600 Blk WYCLIFFE                                                                        
1105787,BURGLARY - RESIDENTIAL - GARAGE                    ,4/26/2011,4,2011,600 Blk CARDIFF                                                                         
1105959,BURGLARY - RESIDENTIAL - GARAGE                    ,4/29/2011,4,2011,600 Blk QUAIL MEADOW                                                                    
1106263,BURGLARY - RESIDENTIAL - GARAGE                    ,5/5/2011,5,2011,1700 Blk WYCLIFFE                                                                        
1106258,BURGLARY - RESIDENTIAL - GARAGE                    ,5/5/2011,5,2011,2900 Blk WHISPERING TRL                                                                  
1106232,BURGLARY - RESIDENTIAL - GARAGE                    ,5/5/2011,5,2011,300 Blk STONECLIFFE AISLE                                                               
1106570,BURGLARY - RESIDENTIAL - GARAGE                    ,5/11/2011,5,2011,200 Blk TURTLE CREST DR                                                                 
1106719,BURGLARY - RESIDENTIAL - GARAGE                    ,5/14/2011,5,2011,19400 Blk SIERRA SOTO RD                                                                  
1107059,BURGLARY - RESIDENTIAL - GARAGE                    ,5/20/2011,5,2011,800 Blk MONTE VISTA                                                                     
1107237,BURGLARY - RESIDENTIAL - GARAGE                    ,5/24/2011,5,2011,0 Blk REMINGTON                                                                       
1107503,BURGLARY - RESIDENTIAL - GARAGE                    ,5/29/2011,5,2011,1600 Blk WYCLIFFE                                                                        
1107493,BURGLARY - RESIDENTIAL - GARAGE                    ,5/29/2011,5,2011,2300 Blk WHISPERING TRL                                                                  
1107765,BURGLARY - RESIDENTIAL - GARAGE                    ,6/4/2011,6,2011,1100 Blk QUAIL RDG                                                                       
1107767,BURGLARY - RESIDENTIAL - GARAGE                    ,6/4/2011,6,2011,17400 Blk TEACHERS AVE                                                                    
1107828,BURGLARY - RESIDENTIAL - GARAGE                    ,6/5/2011,6,2011,0 Blk STEPPING STONE                                                                  
1108124,BURGLARY - RESIDENTIAL - GARAGE                    ,6/10/2011,6,2011,300 Blk LAS PALMAS                                                                      
1108239,BURGLARY - RESIDENTIAL - GARAGE                    ,6/12/2011,6,2011,0 Blk NUEVO                                                                           
1108305,BURGLARY - RESIDENTIAL - GARAGE                    ,6/13/2011,6,2011,300 Blk TURTLE CREST DR                                                                 
1108356,BURGLARY - RESIDENTIAL - GARAGE                    ,6/14/2011,6,2011,400 Blk MONROE                                                                          
1108617,BURGLARY - RESIDENTIAL - GARAGE                    ,6/19/2011,6,2011,0 Blk GARZONI AISLE                                                                   
1109050,BURGLARY - RESIDENTIAL - GARAGE                    ,6/28/2011,6,2011,300 Blk SAINT VINCENT                                                                   
1109378,BURGLARY - RESIDENTIAL - GARAGE                    ,7/3/2011,7,2011,1000 Blk OAKGLEN                                                                         
1109512,BURGLARY - RESIDENTIAL - GARAGE                    ,7/6/2011,7,2011,500 Blk OAKGLEN                                                                         
1109883,BURGLARY - RESIDENTIAL - GARAGE                    ,7/13/2011,7,2011,0 Blk LINDBERG                                                                        
1110202,BURGLARY - RESIDENTIAL - GARAGE                    ,7/19/2011,7,2011,1400 Blk WYCLIFFE                                                                        
1110330,BURGLARY - RESIDENTIAL - GARAGE                    ,7/22/2011,7,2011,2700 Blk WHISPERING TRL                                                                  
1110611,BURGLARY - RESIDENTIAL - GARAGE                    ,7/27/2011,7,2011,600 Blk WHISPERING TRL                                                                  
1110749,BURGLARY - RESIDENTIAL - GARAGE                    ,7/29/2011,7,2011,1100 Blk QUAIL MEADOW                                                                    
1111233,BURGLARY - RESIDENTIAL - GARAGE                    ,8/8/2011,8,2011,0 Blk SARABANDE                                                                       
1111686,BURGLARY - RESIDENTIAL - GARAGE                    ,8/16/2011,8,2011,0 Blk CONCIERTO                                                                       
1111727,BURGLARY - RESIDENTIAL - GARAGE                    ,8/17/2011,8,2011,0 Blk SOLSTICE                                                                        
1112228,BURGLARY - RESIDENTIAL - GARAGE                    ,8/28/2011,8,2011,0 Blk GREENMOOR                                                                       
1112308,BURGLARY - RESIDENTIAL - GARAGE                    ,8/29/2011,8,2011,200 Blk QUAIL MEADOW                                                                    
1112373,BURGLARY - RESIDENTIAL - GARAGE                    ,8/30/2011,8,2011,0 Blk SHOOTING STAR                                                                   
1113289,BURGLARY - RESIDENTIAL - GARAGE                    ,9/19/2011,9,2011,0 Blk LONGVALE                                                                        
1113635,BURGLARY - RESIDENTIAL - GARAGE                    ,9/25/2011,9,2011,0 Blk HUNTER                                                                          
1114008,BURGLARY - RESIDENTIAL - GARAGE                    ,10/2/2011,10,2011,100 Blk W YALE LOOP                                                                     
1114091,BURGLARY - RESIDENTIAL - GARAGE                    ,10/3/2011,10,2011,400 Blk E YALE LOOP                                                                     
1114120,BURGLARY - RESIDENTIAL - GARAGE                    ,10/4/2011,10,2011,800 Blk ANACAPA                                                                         
1114414,BURGLARY - RESIDENTIAL - GARAGE                    ,10/10/2011,10,2011,300 Blk QUAIL RDG                                                                       
1114396,BURGLARY - RESIDENTIAL - GARAGE                    ,10/10/2011,10,2011,400 Blk DURANZO AISLE                                                                   
1114702,BURGLARY - RESIDENTIAL - GARAGE                    ,10/16/2011,10,2011,0 Blk MANN ST                                                                         
1114773,BURGLARY - RESIDENTIAL - GARAGE                    ,10/18/2011,10,2011,300 Blk TURTLE CREST DR                                                                 
1114859,BURGLARY - RESIDENTIAL - GARAGE                    ,10/19/2011,10,2011,2100 Blk SIMPLICITY                                                                      
1115010,BURGLARY - RESIDENTIAL - GARAGE                    ,10/22/2011,10,2011,0 Blk MONTANAS ESTE                                                                   
1115771,BURGLARY - RESIDENTIAL - GARAGE                    ,11/5/2011,11,2011,600 Blk PIEDMONT                                                                        
1115955,BURGLARY - RESIDENTIAL - GARAGE                    ,11/9/2011,11,2011,1000 Blk OAKGLEN                                                                         
1115961,BURGLARY - RESIDENTIAL - GARAGE                    ,11/9/2011,11,2011,400 Blk SAINT VINCENT                                                                   
1116039,BURGLARY - RESIDENTIAL - GARAGE                    ,11/11/2011,11,2011,200 Blk CORAL ROSE                                                                      
1116177,BURGLARY - RESIDENTIAL - GARAGE                    ,11/14/2011,11,2011,0 Blk BETHANY DR                                                                      
1116241,BURGLARY - RESIDENTIAL - GARAGE                    ,11/15/2011,11,2011,1100 Blk QUAIL MEADOW                                                                    
1116680,BURGLARY - RESIDENTIAL - GARAGE                    ,11/25/2011,11,2011,0 Blk PALATINE                                                                        
1116867,BURGLARY - RESIDENTIAL - GARAGE                    ,11/29/2011,11,2011,5300 Blk TRABUCO RD                                                                      
1116916,BURGLARY - RESIDENTIAL - GARAGE                    ,11/30/2011,11,2011,19200 Blk MIRASOL                                                                         
1116976,BURGLARY - RESIDENTIAL - GARAGE                    ,12/1/2011,12,2011,0 Blk PALATINE                                                                        
1117357,BURGLARY - RESIDENTIAL - GARAGE                    ,12/9/2011,12,2011,17300 Blk ESPERANZA                                                                       
1117351,BURGLARY - RESIDENTIAL - GARAGE                    ,12/9/2011,12,2011,0 Blk VASSAR AISLE                                                                    
1118033,BURGLARY - RESIDENTIAL - GARAGE                    ,12/22/2011,12,2011,100 Blk FULL MOON                                                                       
1118186,BURGLARY - RESIDENTIAL - GARAGE                    ,12/27/2011,12,2011,15100 Blk NORMANDIE AVE                                                                   
1118188,BURGLARY - RESIDENTIAL - GARAGE                    ,12/27/2011,12,2011,0 Blk DREAMLIGHT                                                                      
1118252,BURGLARY - RESIDENTIAL - GARAGE                    ,12/28/2011,12,2011,0 Blk SNOWBERRY                                                                       
1118408,BURGLARY - RESIDENTIAL - GARAGE                    ,12/31/2011,12,2011,0 Blk TRADITION PL                                                                    
1200034,BURGLARY - RESIDENTIAL - GARAGE                    ,1/1/2012,1,2012,0 Blk ROLLING HILLS                                                                   
1200042,BURGLARY - RESIDENTIAL - GARAGE                    ,1/1/2012,1,2012,0 Blk GRECO AISLE                                                                     
1200577,BURGLARY - RESIDENTIAL - GARAGE                    ,1/13/2012,1,2012,0 Blk LA SERENA                                                                       
1200969,BURGLARY - RESIDENTIAL - GARAGE                    ,1/21/2012,1,2012,1400 Blk ANACAPA                                                                         
1201157,BURGLARY - RESIDENTIAL - GARAGE                    ,1/25/2012,1,2012,13700 Blk ONKAYHA CIR                                                                     
1201347,BURGLARY - RESIDENTIAL - GARAGE                    ,1/29/2012,1,2012,200 Blk RHYTHM                                                                          
1201379,BURGLARY - RESIDENTIAL - GARAGE                    ,1/30/2012,1,2012,0 Blk ROCKWREN                                                                        
1201465,BURGLARY - RESIDENTIAL - GARAGE                    ,1/31/2012,1,2012,600 Blk CARDIFF                                                                         
1201706,BURGLARY - RESIDENTIAL - GARAGE                    ,2/5/2012,2,2012,100 Blk GREENMOOR                                                                       
1201770,BURGLARY - RESIDENTIAL - GARAGE                    ,2/6/2012,2,2012,600 Blk CARDIFF                                                                         
1202077,BURGLARY - RESIDENTIAL - GARAGE                    ,2/12/2012,2,2012,0 Blk HERMOSA                                                                         
1202294,BURGLARY - RESIDENTIAL - GARAGE                    ,2/17/2012,2,2012,1100 Blk QUAIL MEADOW                                                                    
1202741,BURGLARY - RESIDENTIAL - GARAGE                    ,2/26/2012,2,2012,0 Blk SALT BUSH                                                                       
1202710,BURGLARY - RESIDENTIAL - GARAGE                    ,2/26/2012,2,2012,0 Blk GRECO AISLE                                                                     
1202758,BURGLARY - RESIDENTIAL - GARAGE                    ,2/27/2012,2,2012,100 Blk REMINGTON                                                                       
1202987,BURGLARY - RESIDENTIAL - GARAGE                    ,3/2/2012,3,2012,0 Blk MENLO AISLE                                                                     
1203279,BURGLARY - RESIDENTIAL - GARAGE                    ,3/9/2012,3,2012,0 Blk MAGELLAN AISLE                                                                  
1204017,BURGLARY - RESIDENTIAL - GARAGE                    ,3/24/2012,3,2012,800 Blk LAS PALMAS                                                                      
1204056,BURGLARY - RESIDENTIAL - GARAGE                    ,3/25/2012,3,2012,2100 Blk ANACAPA                                                                         
1204104,BURGLARY - RESIDENTIAL - GARAGE                    ,3/26/2012,3,2012,1200 Blk WYCLIFFE                                                                        
1204244,BURGLARY - RESIDENTIAL - GARAGE                    ,3/29/2012,3,2012,600 Blk CANTOR                                                                          
1204253,BURGLARY - RESIDENTIAL - GARAGE                    ,3/30/2012,3,2012,2600 Blk SIMPLICITY                                                                      
1204832,BURGLARY - RESIDENTIAL - GARAGE                    ,4/11/2012,4,2012,0 Blk WOODLAWN                                                                        
1204872,BURGLARY - RESIDENTIAL - GARAGE                    ,4/12/2012,4,2012,0 Blk ARDMORE                                                                         
1204953,BURGLARY - RESIDENTIAL - GARAGE                    ,4/14/2012,4,2012,400 Blk QUAIL MEADOW                                                                    
1205228,BURGLARY - RESIDENTIAL - GARAGE                    ,4/19/2012,4,2012,0 Blk LACONIA                                                                         
1206331,BURGLARY - RESIDENTIAL - GARAGE                    ,5/11/2012,5,2012,5000 Blk CORKWOOD LN                                                                     
1206378,BURGLARY - RESIDENTIAL - GARAGE                    ,5/12/2012,5,2012,1100 Blk QUAIL RDG                                                                       
1206507,BURGLARY - RESIDENTIAL - GARAGE                    ,5/15/2012,5,2012,0 Blk GRECO AISLE                                                                     
1207333,BURGLARY - RESIDENTIAL - GARAGE                    ,6/1/2012,6,2012,1300 Blk STANFORD                                                                        
1207402,BURGLARY - RESIDENTIAL - GARAGE                    ,6/2/2012,6,2012,0 Blk STRAW FLOWER                                                                    
1207396,BURGLARY - RESIDENTIAL - GARAGE                    ,6/2/2012,6,2012,6100 Blk ARCHWAY                                                                         
1207465,BURGLARY - RESIDENTIAL - GARAGE                    ,6/3/2012,6,2012,0 Blk SPRINGWOOD                                                                      
1207586,BURGLARY - RESIDENTIAL - GARAGE                    ,6/6/2012,6,2012,500 Blk WYCLIFFE                                                                        
1207665,BURGLARY - RESIDENTIAL - GARAGE                    ,6/7/2012,6,2012,1700 Blk WYCLIFFE                                                                        
1207735,BURGLARY - RESIDENTIAL - GARAGE                    ,6/9/2012,6,2012,1400 Blk WYCLIFFE                                                                        
1207800,BURGLARY - RESIDENTIAL - GARAGE                    ,6/10/2012,6,2012,1100 Blk SIMPLICITY                                                                      
1207940,BURGLARY - RESIDENTIAL - GARAGE                    ,6/13/2012,6,2012,0 Blk CAPE COD                                                                        
1207944,BURGLARY - RESIDENTIAL - GARAGE                    ,6/13/2012,6,2012,600 Blk QUAIL MEADOW                                                                    
1208038,BURGLARY - RESIDENTIAL - GARAGE                    ,6/15/2012,6,2012,0 Blk SONRISA                                                                         
1208061,BURGLARY - RESIDENTIAL - GARAGE                    ,6/15/2012,6,2012,0 Blk MURICA AISLE                                                                    
1208149,BURGLARY - RESIDENTIAL - GARAGE                    ,6/17/2012,6,2012,0 Blk PASSAGE                                                                         
1208159,BURGLARY - RESIDENTIAL - GARAGE                    ,6/17/2012,6,2012,700 Blk MONTE VISTA                                                                     
1208188,BURGLARY - RESIDENTIAL - GARAGE                    ,6/18/2012,6,2012,0 Blk DAVIS                                                                           
1208211,BURGLARY - RESIDENTIAL - GARAGE                    ,6/18/2012,6,2012,400 Blk GIOTTO                                                                          
1208220,BURGLARY - RESIDENTIAL - GARAGE                    ,6/18/2012,6,2012,700 Blk LAS PALMAS                                                                      
1208514,BURGLARY - RESIDENTIAL - GARAGE                    ,6/24/2012,6,2012,700 Blk SONOMA AISLE                                                                    
1209128,BURGLARY - RESIDENTIAL - GARAGE                    ,7/6/2012,7,2012,500 Blk LAS PALMAS                                                                      
1209172,BURGLARY - RESIDENTIAL - GARAGE                    ,7/7/2012,7,2012,1800 Blk SIMPLICITY                                                                      
1209154,BURGLARY - RESIDENTIAL - GARAGE                    ,7/7/2012,7,2012,500 Blk PIEDMONT                                                                        
1209249,BURGLARY - RESIDENTIAL - GARAGE                    ,7/9/2012,7,2012,0 Blk EMERALD                                                                         
1209320,BURGLARY - RESIDENTIAL - GARAGE                    ,7/10/2012,7,2012,13200 Blk MIRASOL                                                                         
1209433,BURGLARY - RESIDENTIAL - GARAGE                    ,7/13/2012,7,2012,0 Blk DOGWOOD S                                                                       
1209509,BURGLARY - RESIDENTIAL - GARAGE                    ,7/14/2012,7,2012,1700 Blk WYCLIFFE                                                                        
1209721,BURGLARY - RESIDENTIAL - GARAGE                    ,7/18/2012,7,2012,100 Blk MONTE VISTA                                                                     
1210202,BURGLARY - RESIDENTIAL - GARAGE                    ,7/28/2012,7,2012,0 Blk RACING WIND                                                                     
1210455,BURGLARY - RESIDENTIAL - GARAGE                    ,8/2/2012,8,2012,100 Blk AMHERST AISLE                                                                   
1210564,BURGLARY - RESIDENTIAL - GARAGE                    ,8/4/2012,8,2012,0 Blk BELLA ROSA                                                                      
1210815,BURGLARY - RESIDENTIAL - GARAGE                    ,8/9/2012,8,2012,0 Blk ALCOBA                                                                          
1211140,BURGLARY - RESIDENTIAL - GARAGE                    ,8/15/2012,8,2012,3700 Blk HAMILTON ST                                                                     
1211117,BURGLARY - RESIDENTIAL - GARAGE                    ,8/15/2012,8,2012,0 Blk PEACOCK                                                                         
1211101,BURGLARY - RESIDENTIAL - GARAGE                    ,8/15/2012,8,2012,0 Blk TORTOISE SHELL                                                                  
1211546,BURGLARY - RESIDENTIAL - GARAGE                    ,8/23/2012,8,2012,100 Blk STONECLIFFE AISLE                                                               
1211589,BURGLARY - RESIDENTIAL - GARAGE                    ,8/24/2012,8,2012,900 Blk WYCLIFFE                                                                        
1211685,BURGLARY - RESIDENTIAL - GARAGE                    ,8/26/2012,8,2012,0 Blk MUIR                                                                            
1211770,BURGLARY - RESIDENTIAL - GARAGE                    ,8/28/2012,8,2012,0 Blk N SANTA TERESITA                                                                
1211956,BURGLARY - RESIDENTIAL - GARAGE                    ,8/31/2012,8,2012,0 Blk LEMON TREE                                                                      
1211972,BURGLARY - RESIDENTIAL - GARAGE                    ,9/1/2012,9,2012,200 Blk PINEVIEW                                                                        
1212063,BURGLARY - RESIDENTIAL - GARAGE                    ,9/3/2012,9,2012,0 Blk SANTA CATALINA AISLE                                                            
1212129,BURGLARY - RESIDENTIAL - GARAGE                    ,9/4/2012,9,2012,300 Blk PIEDMONT                                                                        
1212230,BURGLARY - RESIDENTIAL - GARAGE                    ,9/6/2012,9,2012,600 Blk CARDIFF                                                                         
1212402,BURGLARY - RESIDENTIAL - GARAGE                    ,9/9/2012,9,2012,1200 Blk QUAIL RDG                                                                       
1212523,BURGLARY - RESIDENTIAL - GARAGE                    ,9/12/2012,9,2012,500 Blk SHADOW OAKS                                                                     
1212750,BURGLARY - RESIDENTIAL - GARAGE                    ,9/16/2012,9,2012,1400 Blk WYCLIFFE                                                                        
1212773,BURGLARY - RESIDENTIAL - GARAGE                    ,9/17/2012,9,2012,0 Blk WAKEFIELD                                                                       
1212782,BURGLARY - RESIDENTIAL - GARAGE                    ,9/17/2012,9,2012,500 Blk RHYTHM                                                                          
1212798,BURGLARY - RESIDENTIAL - GARAGE                    ,9/17/2012,9,2012,900 Blk MAPLEWOOD                                                                       
1212938,BURGLARY - RESIDENTIAL - GARAGE                    ,9/20/2012,9,2012,300 Blk TURTLE CREST DR                                                                 
1212945,BURGLARY - RESIDENTIAL - GARAGE                    ,9/20/2012,9,2012,0 Blk LEESBURG                                                                        
1213020,BURGLARY - RESIDENTIAL - GARAGE                    ,9/22/2012,9,2012,0 Blk GLENNHURST                                                                      
1213080,BURGLARY - RESIDENTIAL - GARAGE                    ,9/23/2012,9,2012,400 Blk SHADOW OAKS                                                                     
1213236,BURGLARY - RESIDENTIAL - GARAGE                    ,9/26/2012,9,2012,2100 Blk SIMPLICITY                                                                      
1213271,BURGLARY - RESIDENTIAL - GARAGE                    ,9/26/2012,9,2012,600 Blk SANTA MARIA                                                                     
1213408,BURGLARY - RESIDENTIAL - GARAGE                    ,9/29/2012,9,2012,400 Blk RHYTHM                                                                          
1213490,BURGLARY - RESIDENTIAL - GARAGE                    ,9/30/2012,9,2012,500 Blk LAS PALMAS                                                                      
1213611,BURGLARY - RESIDENTIAL - GARAGE                    ,10/2/2012,10,2012,0 Blk CALAVERA                                                                        
1213700,BURGLARY - RESIDENTIAL - GARAGE                    ,10/4/2012,10,2012,0 Blk CIGLIANO AISLE                                                                  
1213675,BURGLARY - RESIDENTIAL - GARAGE                    ,10/4/2012,10,2012,2800 Blk KELVIN AVE                                                                      
1213689,BURGLARY - RESIDENTIAL - GARAGE                    ,10/4/2012,10,2012,600 Blk CARDIFF                                                                         
1213744,BURGLARY - RESIDENTIAL - GARAGE                    ,10/5/2012,10,2012,0 Blk PAZZI                                                                           
1214038,BURGLARY - RESIDENTIAL - GARAGE                    ,10/10/2012,10,2012,0 Blk DECENTE                                                                         
1214062,BURGLARY - RESIDENTIAL - GARAGE                    ,10/10/2012,10,2012,0 Blk BELL                                                                            
1214178,BURGLARY - RESIDENTIAL - GARAGE                    ,10/13/2012,10,2012,15400 Blk VERDUN CIR                                                                      
1214225,BURGLARY - RESIDENTIAL - GARAGE                    ,10/14/2012,10,2012,0 Blk LAKEGRASS                                                                       
1214568,BURGLARY - RESIDENTIAL - GARAGE                    ,10/20/2012,10,2012,200 Blk TUBEROSE                                                                        
1214538,BURGLARY - RESIDENTIAL - GARAGE                    ,10/20/2012,10,2012,0 Blk CROCKETT                                                                        
1214672,BURGLARY - RESIDENTIAL - GARAGE                    ,10/23/2012,10,2012,0 Blk HIGHLAND VW                                                                     
1214787,BURGLARY - RESIDENTIAL - GARAGE                    ,10/25/2012,10,2012,400 Blk QUAIL MEADOW                                                                    
1214909,BURGLARY - RESIDENTIAL - GARAGE                    ,10/28/2012,10,2012,0 Blk MORRIS RD                                                                       
1214897,BURGLARY - RESIDENTIAL - GARAGE                    ,10/28/2012,10,2012,0 Blk MONUMENT PL                                                                     
1214933,BURGLARY - RESIDENTIAL - GARAGE                    ,10/29/2012,10,2012,18300 Blk PAYTON                                                                          
1214967,BURGLARY - RESIDENTIAL - GARAGE                    ,10/29/2012,10,2012,400 Blk QUAIL RDG                                                                       
1214988,BURGLARY - RESIDENTIAL - GARAGE                    ,10/30/2012,10,2012,900 Blk LAS PALMAS                                                                      
1215037,BURGLARY - RESIDENTIAL - GARAGE                    ,10/31/2012,10,2012,300 Blk QUAIL RDG                                                                       
1215502,BURGLARY - RESIDENTIAL - GARAGE                    ,11/9/2012,11,2012,0 Blk WHISTLING SWAN                                                                  
1215594,BURGLARY - RESIDENTIAL - GARAGE                    ,11/11/2012,11,2012,500 Blk SAINT VINCENT                                                                   
1215720,BURGLARY - RESIDENTIAL - GARAGE                    ,11/14/2012,11,2012,6100 Blk SIERRA BRAVO RD                                                                 
1215812,BURGLARY - RESIDENTIAL - GARAGE                    ,11/16/2012,11,2012,0 Blk HATHAWAY                                                                        
1215987,BURGLARY - RESIDENTIAL - GARAGE                    ,11/20/2012,11,2012,0 Blk IMPERIALE AISLE                                                                 
1216065,BURGLARY - RESIDENTIAL - GARAGE                    ,11/21/2012,11,2012,4300 Blk BROOKSIDE ST                                                                    
1216074,BURGLARY - RESIDENTIAL - GARAGE                    ,11/21/2012,11,2012,500 Blk CARDIFF                                                                         
1216109,BURGLARY - RESIDENTIAL - GARAGE                    ,11/23/2012,11,2012,0 Blk SEVENOAKS                                                                       
1216110,BURGLARY - RESIDENTIAL - GARAGE                    ,11/23/2012,11,2012,800 Blk QUAIL MEADOW                                                                    
1216380,BURGLARY - RESIDENTIAL - GARAGE                    ,11/29/2012,11,2012,1000 Blk WYCLIFFE                                                                        
1216378,BURGLARY - RESIDENTIAL - GARAGE                    ,11/29/2012,11,2012,300 Blk STONECLIFFE AISLE                                                               
1216369,BURGLARY - RESIDENTIAL - GARAGE                    ,11/29/2012,11,2012,500 Blk LAS PALMAS                                                                      
1216523,BURGLARY - RESIDENTIAL - GARAGE                    ,12/2/2012,12,2012,2600 Blk ANACAPA                                                                         
1216882,BURGLARY - RESIDENTIAL - GARAGE                    ,12/9/2012,12,2012,600 Blk TURTLE CREST DR                                                                 
1216923,BURGLARY - RESIDENTIAL - GARAGE                    ,12/10/2012,12,2012,400 Blk QUAIL MEADOW                                                                    
1217171,BURGLARY - RESIDENTIAL - GARAGE                    ,12/16/2012,12,2012,200 Blk AMHERST AISLE                                                                   
1217288,BURGLARY - RESIDENTIAL - GARAGE                    ,12/18/2012,12,2012,1000 Blk SIMPLICITY                                                                      
1217326,BURGLARY - RESIDENTIAL - GARAGE                    ,12/19/2012,12,2012,1100 Blk PIEDMONT                                                                        
1217317,BURGLARY - RESIDENTIAL - GARAGE                    ,12/19/2012,12,2012,100 Blk PATHWAY                                                                         
1217453,BURGLARY - RESIDENTIAL - GARAGE                    ,12/21/2012,12,2012,2700 Blk GRAND CANAL                                                                     
1217569,BURGLARY - RESIDENTIAL - GARAGE                    ,12/25/2012,12,2012,0 Blk LUCERO E                                                                        
1217613,BURGLARY - RESIDENTIAL - GARAGE                    ,12/27/2012,12,2012,0 Blk RINALDI                                                                         
1217663,BURGLARY - RESIDENTIAL - GARAGE                    ,12/28/2012,12,2012,300 Blk QUAIL RDG                                                                       
